Fecha,SPEI,Zona
1919-05-16,-0.50286716,Sevilla
1919-06-16,0.0070500844,Sevilla
1919-07-16,1.7494607,Sevilla
1919-08-16,-0.065417714,Sevilla
1919-09-16,1.0696734,Sevilla
1919-10-16,0.71505994,Sevilla
1919-11-16,1.8435857,Sevilla
1919-12-16,-1.0814646,Sevilla
1920-01-16,-0.44780317,Sevilla
1920-02-15,0.85504556,Sevilla
1920-03-16,-0.10373167,Sevilla
1920-04-16,-0.0075784544,Sevilla
1920-05-16,1.026112,Sevilla
1920-06-16,0.28465515,Sevilla
1920-07-16,0.7729362,Sevilla
1920-08-16,0.681058,Sevilla
1920-09-16,-0.3442928,Sevilla
1920-10-16,0.20749892,Sevilla
1920-11-16,0.962564,Sevilla
1920-12-16,0.67709595,Sevilla
1921-01-16,-0.8577794,Sevilla
1921-02-15,0.89109606,Sevilla
1921-03-16,-0.22420211,Sevilla
1921-04-16,0.44874412,Sevilla
1921-05-16,0.82877016,Sevilla
1921-06-16,0.4191403,Sevilla
1921-07-16,-0.0005409422,Sevilla
1921-08-16,1.0390255,Sevilla
1921-09-16,1.3538761,Sevilla
1921-10-16,-0.35511035,Sevilla
1921-11-16,-0.15855068,Sevilla
1921-12-16,-0.12280862,Sevilla
1922-01-16,0.08230888,Sevilla
1922-02-15,-0.46220818,Sevilla
1922-03-16,0.81437624,Sevilla
1922-04-16,-1.0057836,Sevilla
1922-05-16,-0.7859972,Sevilla
1922-06-16,1.2668504,Sevilla
1922-07-16,0.9092455,Sevilla
1922-08-16,0.20559017,Sevilla
1922-09-16,0.3816827,Sevilla
1922-10-16,1.3390394,Sevilla
1922-11-16,-1.0616617,Sevilla
1922-12-16,0.09240799,Sevilla
1923-01-16,-1.2372315,Sevilla
1923-02-15,0.41249636,Sevilla
1923-03-16,-0.76357764,Sevilla
1923-04-16,2.1590166,Sevilla
1923-05-16,-0.27231812,Sevilla
1923-06-16,1.3839648,Sevilla
1923-07-16,0.5262999,Sevilla
1923-08-16,-0.68656194,Sevilla
1923-09-16,0.3606045,Sevilla
1923-10-16,-0.44699106,Sevilla
1923-11-16,1.4911871,Sevilla
1923-12-16,-1.1025754,Sevilla
1924-01-16,0.16286485,Sevilla
1924-02-15,1.1548948,Sevilla
1924-03-16,1.6101084,Sevilla
1924-04-16,0.31492677,Sevilla
1924-05-16,-0.6159928,Sevilla
1924-06-16,-0.22188465,Sevilla
1924-07-16,-0.0005409422,Sevilla
1924-08-16,0.34971955,Sevilla
1924-09-16,-0.43447053,Sevilla
1924-10-16,0.24521202,Sevilla
1924-11-16,0.64291745,Sevilla
1924-12-16,0.3304282,Sevilla
1925-01-16,-1.581315,Sevilla
1925-02-15,0.5469065,Sevilla
