Zona,Fecha,VV_linear,VH_linear,Píxeles_Válidos,VV_dB,VH_dB,VH_VV_Ratio
Valdeorras_Incendio,2022-06-11,0.1405912979866982,0.03679922813199655,202500,-8.52041559496248,-14.341612906071957,-5.8211973111094775
Valdeorras_Incendio,2022-06-18,0.17239412087574896,0.04589738324340947,202500,-7.634775489217295,-13.382120742741389,-5.747345253524093
Valdeorras_Incendio,2022-06-25,0.13497782272591533,0.03230694837180641,202500,-8.697375815713293,-14.907040623437219,-6.209664807723925
Valdeorras_Incendio,2022-07-02,0.13941204250785297,0.03630654418242789,202500,-8.556997099624207,-14.400150871908856,-5.84315377228465
Valdeorras_Incendio,2022-07-09,0.1545804775075575,0.03781499877151493,202500,-8.108453554766083,-14.223359093766735,-6.114905539000652
Valdeorras_Incendio,2022-07-16,0.14683557337062605,0.04041845239883267,202500,-8.331687165794396,-13.934203194084054,-5.602516028289658
Valdeorras_Incendio,2022-07-23,0.1454590760686981,0.03762408274319412,202500,-8.372591753204793,-14.245340791569081,-5.872749038364288
Valdeorras_Incendio,2022-07-30,0.14270429877126475,0.034499424531538335,202500,-8.455629441627211,-14.621881491256193,-6.166252049628982
Valdeorras_Incendio,2022-08-06,0.14052827933969453,0.03461389812610315,202500,-8.522362713079932,-14.6074948885017,-6.0851321754217675
Valdeorras_Incendio,2022-08-13,0.1324058608002421,0.031237513655186695,202500,-8.780927909018242,-15.053235410176846,-6.272307501158604
Valdeorras_Incendio,2022-08-20,0.1407923139563069,0.03629754601423707,202500,-8.514210532725649,-14.401227355286565,-5.887016822560916
Valdeorras_Incendio,2022-08-27,0.14232095469999437,0.03423698406894281,202500,-8.467311516333165,-14.655044992491014,-6.187733476157849
Valdeorras_Incendio,2022-09-03,0.13693359252059212,0.03403252250181981,202500,-8.634899977630946,-14.68105859660576,-6.046158618974815
Valdeorras_Incendio,2022-09-10,0.13816583213832023,0.03508949285101363,202500,-8.595993429852427,-14.548229086041415,-5.9522356561889875
Valdeorras_Incendio,2022-09-17,0.13403137440436463,0.031002438705684573,202500,-8.727935289800335,-15.086041424636392,-6.358106134836056
Valdeorras_Incendio,2022-09-24,0.12752935274485816,0.031137797986402843,202500,-8.943898445008555,-15.067121032697703,-6.123222587689147
Valdeorras_Incendio,2022-10-01,0.1328989788488612,0.030717416415241516,202500,-8.764783560174527,-15.126153148055328,-6.361369587880802
Valdeorras_Incendio,2022-10-08,0.12767517063587,0.03133291763033891,202500,-8.938935530442473,-15.039991629938214,-6.101056099495741
Valdeorras_Incendio,2022-10-15,0.14019175887477997,0.034089384874253774,202500,-8.532775154735187,-14.67380835325157,-6.141033198516382
Valdeorras_Incendio,2022-10-22,0.1897740129333161,0.04483469513585955,202500,-7.217632587810343,-13.483857789833046,-6.266225202022703
Valdeorras_Incendio,2022-10-29,0.13684582917154886,0.032585779588925466,202500,-8.637684346103407,-14.869718843931498,-6.23203449782809
Valdeorras_Incendio,2022-11-05,0.1605455668386485,0.03530152984939646,202500,-7.944016821503832,-14.522064733443509,-6.578047911939677
Valdeorras_Incendio,2022-11-12,0.13800092826587984,0.03317104838384465,202500,-8.601179922988107,-14.792408022181272,-6.1912280991931645
